city,year,plan_amount,fact_amount
Москва,2018,550000,625000
Москва,2019,605000,580000
Москва,2020,665500,665600
Москва,2021,732050,780000
Москва,2022,805255,903564
Москва,2023,885781,833423
Екатеринбург,2020,1100000,1400000
Екатеринбург,2021,1210000,1240000
Екатеринбург,2022,1331000,1100000
Екатеринбург,2023,1464100,1464100
Саратов,2018,355000,340500
Саратов,2019,390500,386785
Саратов,2020,429550,550000
Саратов,2023,515460,657948
Пенза,2018,154000,130500
Пенза,2019,169400,154000
Пенза,2020,186340,196550
Пенза,2021,204974,220434	
Пенза,2022,225471,298000
Пенза,2023,248019,180564

